City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
537,benghazi,32.1167,20.0667,63.16,63.0,65.0,16.71,LY,1702922021.0
538,al wafrah,28.6392,47.9306,63.79,65.0,84.0,6.96,KW,1702922022.0
539,devils lake,48.1128,-98.8651,17.71,79.0,0.0,11.99,US,1702921915.0
540,isla mujeres,21.2311,-86.731,80.17,56.0,56.0,14.88,MX,1702922023.0
541,pimentel,-6.8367,-79.9342,80.89,61.0,0.0,17.27,PE,1702922023.0
542,christchurch,-43.5333,172.6333,59.92,81.0,100.0,11.5,NZ,1702922023.0
543,dingras,18.1032,120.6967,78.04,81.0,99.0,5.44,PH,1702922024.0
544,colonia menno,-22.3667,-59.8167,110.88,17.0,49.0,19.53,PY,1702922024.0
545,pariaman,-0.619,100.12,78.85,90.0,100.0,3.22,ID,1702922024.0
546,wodonga,-36.1167,146.8833,71.96,100.0,99.0,3.51,AU,1702922025.0
547,kattivakkam,13.2167,80.3167,78.89,67.0,100.0,13.67,IN,1702922025.0
548,mandera,3.9366,41.867,88.54,28.0,88.0,7.29,KE,1702922025.0
549,trinidad,-14.8333,-64.9,91.38,55.0,40.0,11.5,BO,1702922026.0
550,namtsy,62.7161,129.6658,-48.17,99.0,99.0,1.88,RU,1702922026.0
551,salinas,36.6777,-121.6555,63.07,94.0,100.0,12.66,US,1702922026.0
552,zaragoza,41.6561,-0.8773,48.49,69.0,0.0,1.01,ES,1702922027.0
553,tsiombe,-25.3,45.4833,74.35,80.0,2.0,8.99,MG,1702922027.0
554,new philadelphia,40.4898,-81.4457,38.86,81.0,100.0,15.01,US,1702921813.0
555,kindu,-2.95,25.95,73.69,92.0,100.0,2.62,CD,1702922028.0
556,szczytna,50.4134,16.4474,40.77,92.0,70.0,5.32,PL,1702922028.0
557,grinnell,41.743,-92.7224,28.38,63.0,0.0,26.46,US,1702922028.0
558,gisborne,-38.6533,178.0042,62.85,92.0,100.0,0.94,NZ,1702922029.0
559,patacamaya,-17.2333,-67.9167,61.02,46.0,99.0,6.08,BO,1702922029.0
560,deder,9.3167,41.45,54.99,51.0,100.0,4.54,ET,1702922029.0
561,inhambane,-23.865,35.3833,82.38,83.0,40.0,8.05,MZ,1702922030.0
562,magdagachi,53.45,125.8,-11.52,97.0,100.0,4.09,RU,1702922030.0
563,alderetes,-26.8167,-65.1333,69.71,100.0,100.0,8.05,AR,1702922030.0
564,charters towers,-20.1,146.2667,69.82,93.0,11.0,6.51,AU,1702922031.0
565,gadzhiyevo,69.2551,33.3362,23.38,85.0,27.0,17.78,RU,1702922031.0
566,nantucket,41.2835,-70.0995,59.14,94.0,100.0,40.29,US,1702921866.0
567,shalqar,47.8333,59.6,14.29,92.0,57.0,8.34,KZ,1702922032.0
568,el granada,37.5027,-122.4694,59.16,95.0,100.0,6.91,US,1702922032.0
569,maua,-23.6678,-46.4614,93.0,58.0,2.0,13.06,BR,1702922032.0
570,khromtau,50.2503,58.4347,10.78,96.0,81.0,9.26,KZ,1702922032.0
571,axim,4.8699,-2.2405,82.2,79.0,40.0,9.15,GH,1702922033.0
572,choibalsan,48.0667,114.5,-13.5,94.0,99.0,7.87,MN,1702922033.0
573,opelika,32.6454,-85.3783,54.81,57.0,0.0,3.0,US,1702921344.0
574,nikolayevsk-on-amure,53.1406,140.73,-14.49,98.0,100.0,4.79,RU,1702922034.0
575,ytyk-kyuyel',,,,,,,,
576,qamdo,31.1667,97.2333,18.34,58.0,19.0,2.28,CN,1702922034.0
577,ulanhot,46.0833,122.0833,-3.64,81.0,100.0,2.13,CN,1702922035.0
578,qui nhon,13.7667,109.2333,74.01,89.0,87.0,9.73,VN,1702922035.0
579,veinticinco de mayo,-35.4323,-60.1727,57.69,92.0,100.0,12.12,AR,1702922035.0
580,palmer,42.1584,-72.3287,63.77,47.0,100.0,1.99,US,1702922036.0
581,tsarevo,42.1667,27.85,45.52,66.0,36.0,3.71,BG,1702922036.0
582,bhan,26.5583,67.7214,63.68,28.0,1.0,2.08,PK,1702922036.0
583,moshi,-3.35,37.3333,73.36,80.0,98.0,6.15,TZ,1702922037.0
584,vadso,70.0744,29.7487,32.16,86.0,20.0,26.46,NO,1702922037.0
585,chui,-33.6971,-53.4616,72.43,73.0,100.0,13.89,UY,1702922037.0
586,kalemie,-5.9475,29.1947,73.81,82.0,100.0,0.94,CD,1702922038.0
587,villamontes,-21.25,-63.5,98.04,49.0,99.0,0.0,BO,1702922038.0
588,belyy yar,53.6039,91.3903,-27.51,75.0,20.0,0.0,RU,1702922038.0
589,singarayakonda,15.25,80.0333,74.12,79.0,80.0,7.92,IN,1702922039.0
